URN,Platform,Forecourt Brand,Site Name,Address,Suburb,State,Postcode,Lat,Long,Status,Metro/Regional,Highway Site,Truck Forecourt,Semi-Trailer Accessible,B Double Accessible,Road Train Accessible,Diesel,High Flow Diesel,Ultra High Flow Diesel,Adblue at Pump,Adblue by Pack,Truck Parking,Showers,Truckers Lounge,Shell Card Accepted,Trading Hours (24 x 7 Site)
S173,Liberty Oil Australia,Shell,SHELL NEWMAN,21 WILLIS ST,NEWMAN,WA,6753,-23.3705305,119.7303987,Open,Regional,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No
S192,Alliance,Shell,SHELL COLES EXPRESS SOUTH HEDLAND ROADHOUSE,LOT 5553 WALLWORK RD,WEDGEFIELD,WA,6721,-20.373543,118.607486,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
S296,Alliance,Shell,SHELL COLES EXPRESS LEONORA,54-56 TOWER ST,LEONORA,WA,6438,-28.884784,121.330708,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
S610,Alliance,Shell,SHELL COLES EXPRESS FITZROY CROSSING ROADHOUSE,87 GREAT NORTHERN HWY,FITZROY CROSSING,WA,6765,-18.1978037,125.5681326,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No
S653,Liberty Oil Australia,Liberty,LIBERTY MERREDIN UNMANNED,LOT 1321 MACKENZIE CRESCENT,MERREDIN,WA,6415,-31.47882027,118.2959814,Open,Regional,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,,,Yes,Yes
S656,Alliance,Shell,SHELL COLES EXPRESS WANGARA,LOT311   1 NICHE PARADE,WANGARA,WA,6065,-31.7921027,115.8526936,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
S661,Liberty Oil Australia,Liberty,LIBERTY CUE UNMANNED,10 AUSTIN STREET,CUE,WA,6640,-27.4272377,117.8938032,Open,Regional,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,,,Yes,Yes
X167,Liberty Oil Australia,Shell,SHELL AUSKI ROADHOUSE,GREAT NORTHERN HWY (CNR MUNJINA RD),KARIJINI,WA,6751,-22.37727248,118.6911001,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
X203,Liberty Oil Convenience (LOC),Liberty,LIBERTY DONGARA,30217 BRAND HWY,DONGARA,WA,6525,-29.25306468,114.9561745,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
X205,Liberty Oil Australia,Liberty,LIBERTY NEWDEGATE STOCK & TRADING CO,188 MCCRACKEN ROAD,NEWDEGATE,WA,6355,-33.09306959,119.0276613,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
X206,Liberty Oil Australia,Liberty,LIBERTY PARDOO,LOT 18 GREAT NORTHERN HWAY,PARDOO,WA,6721,-20.05388818,119.8273862,Open,Remote,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No
X215,Liberty Oil Australia,Liberty,LIBERTY GNOWANGERUP FUEL SUPPLIES,20 FORMBY STREET,GNOWANGERUP,WA,6335,-33.9418055,118.0048303,Open,Metro,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
X218,Viva Direct (DO),Liberty,LIBERTY BEVERLEY DOME UNMANNED,149 VINCENT ST,BEVERLEY,WA,6304,-32.10982002,116.9235042,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Yes
X227,Liberty Oil Australia,Shell,SHELL EXMOUTH UNMANNED,23 INGRAM STREET,EXMOUTH,WA,6707,-22.00935612,114.1180524,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
X231,Liberty Oil Australia,Liberty,LIBERTY HOPE VALLEY UNMANNED,1448 ROCKINGHAM RD (CNR ANKATELL RD),HOPE VALLEY,WA,6165,-32.20916334,115.7861163,Open,Metro,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,,Yes,Yes
X283,Liberty Oil Convenience (LOC),Liberty,LIBERTY CATABY ROADHOUSE,10805 BRAND HIGHWAY,CATABY,WA,6507,-31.8954,116.173,Open,Regional,No,No,No,No,No,Yes,No,No,No,No,No,,,Yes,No
X328,Liberty Oil Convenience (LOC),Shell,SHELL HIGH WYCOMBE,1100 ABERNETHY ROAD,HIGH WYCOMBE,WA,6057,-31.9382341,115.991715,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No
X358,Liberty Oil Convenience (LOC),Liberty,LIBERTY LANDSDALE,2 COWLE ST,LANDSDALE,WA,6065,-31.8028,115.8356025,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,,,Yes,No
X449,Viva Direct (DO),Liberty,LIBERTY CORRIGIN ROADHOUSE,8 KUJIN STREET,CORRIGIN,WA,6375,-32.3339635,117.875833,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
X513,Liberty Oil Australia,Liberty,LIBERTY MARGARET RIVER UNMANNED,12 AUGER WAY,MARGARET RIVER,WA,6285,-33.96608781,115.0718294,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,,Yes,Yes
Q277,Company Controlled,Caltex,S24 SAWYERS VALLEY (CALTEX),96 GREAT EASTERN HIGHWAY,SAWYERS VALLEY,WA,6074,-31.90309514,116.2072329,Open,Metro,No,Yes,Yes,No,No,No,Yes,No,No,No,No,,,Yes,Yes
S662,Viva Direct (DO),Shell,SHELL KOJONUP,47 ALBANY HWAY,KOJONUP,WA,6395,-33.8274005,117.1571293,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No
X172,Liberty Oil Australia,Shell,SHELL CHITTERING,5066 GREATER NORTHERN HWAY,CHITTERING,WA,6084,-31.4649652,116.0513021,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
X535,Liberty Oil Australia,Shell,SHELL TAMBO ROADHOUSE,1 ARTHUR ST,TAMBO,QLD,4478,-24.88175372,146.2581976,Open,Remote,No,No,No,No,No,Yes,No,No,No,No,No,,,Yes,No
X492,Liberty Oil Convenience (LOC),Liberty,LIBERTY NAVAL BASE,24 DOOLEY ST,NAVAL BASE,WA,6165,-32.19779709,115.7828625,Open,Metro,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes
J144,Viva Direct (DO),Shell,SHELL COOLMUNDA TRUCKSTOP,23129 CUNNINGHAM HWY,COOLMUNDA,QLD,4387,-28.40773342,151.203776,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No
X494,Liberty Oil Australia,Liberty,LIBERTY BOWEN DEPOT,17 PETER DELEMONTHE ROAD,BOWEN,QLD,4805,-20.01780345,148.1912803,Open,Regional,No,No,No,No,No,Yes,No,No,No,No,No,,,Yes,No
Q053,Viva Direct (DO),Shell,SHELL MADDINGTON,1 DAVISON ST,MADDINGTON,WA,6109,-32.045263,115.988755,Open,Metro,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
