URN,Platform,Forecourt Brand,Site Name,Address,Suburb,State,Postcode,Lat,Long,Status,Metro/Regional,Highway Site,Truck Forecourt,Semi-Trailer Accessible,B Double Accessible,Road Train Accessible,Diesel,High Flow Diesel,Ultra High Flow Diesel,Adblue at Pump,Adblue by Pack,Truck Parking,Showers,Truckers Lounge,Shell Card Accepted,Trading Hours (24 x 7 Site)
H245,Viva Direct (DO),Shell,SHELL EAST DEVONPORT UNMANNED,150 TARLETON STREET,DEVONPORT EAST,TAS,7310,-41.1866,146.371,Open,Regional,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
H277,Viva Direct (DO),Shell,SHELL WIVENHOE UNMANNED,16 RIVER ROAD,WIVENHOE,TAS,7320,-41.073391,145.923931,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
H284,Alliance,Shell,SHELL COLES EXPRESS SMITHTON,6-8 BRITTONS RD,SMITHTON,TAS,7330,-40.855784,145.134268,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No
A097,Liberty Oil Australia,Shell,SHELL QUAMBATOOK UNMANNED,72 QUAMBATOOK-SWAN HILL RD (CNR LTL MILDRED ST),QUAMBATOOK,VIC,3540,-35.845349,143.515102,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes
E202,Viva Direct (DO),Shell,SHELL WERRIGAR ROADHOUSE,213 HENTY HWY (CNR BURONGA HWY),WARRACKNABEAL,VIC,3393,-36.24563595,142.4011503,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No
F101,Alliance,Shell,SHELL COLES EXPRESS GEELONG NORTH,247 MELBOURNE ROAD,GEELONG NORTH,VIC,3215,-38.117287,144.354502,Open,Regional,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
F168,Viva Direct (DO),Shell,SHELL BAXTER,139 GRANT ROAD,BAXTER,VIC,3911,-38.19976525,145.1819448,Open,Metro,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes
F174,Alliance,Shell,SHELL COLES EXPRESS EUROA,167 TARCOMBE ST,EUROA,VIC,3666,-36.744916,145.591314,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
F188,Liberty Oil Convenience (LOC),Liberty,LIBERTY LYNDHURST,200-210 DANDENONG HASTINGS ROAD,LYNDHURST,VIC,3975,-38.055283,145.244398,Open,Regional,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes
F249,Alliance,Shell,SHELL COLES EXPRESS LAVERTON NORTH,2 LITTLE BOUNDARY RD (CNR PRINCES HWY),LAVERTON NORTH,VIC,3026,-37.82335,144.82381,Open,Metro,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
F255,Viva Direct (DO),Shell,SHELL NAR NAR GOON,1975 PRINCES HWY,NAR NAR GOON,VIC,3812,-38.0677,145.559,Open,Regional,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
F258,Liberty Oil Convenience (LOC),Shell,SHELL WARRAGUL ROADHOUSE,80 ALFRED ST,WARRAGUL,VIC,3820,-38.168576,145.939862,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
F277,Liberty Oil Australia,Liberty,LIBERTY LAVERTON UNMANNED,5-11 PIPE ROAD,LAVERTON NORTH,VIC,3026,-37.82028399,144.8170641,Open,Metro,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
F280,Alliance,Shell,SHELL COLES EXPRESS DANDENONG SOUTH,215-221 GREENS RD,DANDENONG SOUTH,VIC,3175,-38.01201716,145.1983673,Open,Metro,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
F283,Alliance,Shell,SHELL COLES EXPRESS FITZGERALD RD,285 FITZGERALD RD,DERRIMUT,VIC,3026,-37.81289759,144.7865575,Open,Metro,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
F286,Alliance,Shell,SHELL COLES EXPRESS CAMPBELLFIELD,1805-1825 SYDNEY RD,CAMPBELLFIELD,VIC,3061,-37.646919,144.951214,Open,Metro,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
F287,Alliance,Shell,SHELL COLES EXPRESS KEILOR EAST,26 CEMETERY RD,KEILOR EAST,VIC,3033,-37.729081,144.850968,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No
F312,Alliance,Shell,SHELL COLES EXPRESS WESTGATE NORTH,46-62 COOK ST,PORT MELBOURNE,VIC,3207,-37.82959339,144.9176303,Open,Metro,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
F314,Alliance,Shell,SHELL COLES EXPRESS KEILOR PARK,69 KEILOR PARK DRIVE,TULLAMARINE,VIC,3043,-37.718923,144.851959,Open,Metro,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No
F324,Westside Petroleum,Shell,SHELL STRATHMERTON,4972 MURRAY VALLEY HIGHWAY,STRATHMERTON,VIC,3641,-35.9255,145.5,Open,Regional,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
F338,Alliance,Shell,SHELL COLES EXPRESS MOOLAP,272-280 PORTARLINGTON ROAD,MOOLAP,VIC,3224,-38.16413,144.41393,Open,Regional,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
F359,Liberty Oil Convenience (LOC),Liberty,LIBERTY BENALLA,5941 MIDLAND HWY,BENALLA,VIC,3672,-36.5377,145.982,Open,Regional,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No
F373,Liberty Oil Australia,Shell,SHELL MORWELL UNMANNED,103 ALEXANDERS ROAD,MORWELL,VIC,3840,-38.22202121,146.4430001,Update Required,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
F392,Liberty Oil Australia,Shell,SHELL PORTLAND UNMANNED,615 HENTY HIGHWAY,PORTLAND,VIC,3305,-38.32128065,141.5960362,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
F399,Alliance,Shell,SHELL COLES EXPRESS BUNKER HILL,1175 HUME HWY,MICKLEHAM,VIC,3064,-37.540429,144.944205,Open,Metro,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
F622,Alliance,Shell,SHELL COLES EXPRESS TRARALGON,115 PRINCES HIGHWAY (CNR BREED ST),TRARALGON,VIC,3844,-38.19939057,146.5342956,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
F714,Viva Direct (DO),Liberty,LIBERTY PAKENHAM,1365 PRINCES HIGHWAY,PAKENHAM,VIC,3810,-38.0649883,145.5064974,Open,Regional,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes
F743,Alliance,Shell,SHELL COLES EXPRESS ALTONA NORTH,71-75 DOHERTY'S RD,ALTONA NORTH,VIC,3025,-37.831706,144.824147,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes
F779,Alliance,Shell,SHELL COLES EXPRESS ALTONA - GRIEVE PDE,300-302 GRIEVE PDE (CNR KOROROIT CREEK RD),ALTONA NORTH,VIC,3025,-37.84852662,144.8235079,Open,Metro,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
F821,Alliance,Shell,SHELL COLES EXPRESS TRUGANINA,465 DOHERTYS ROAD,TRUGANINA,VIC,3029,-37.82488563,144.7467468,Open,Metro,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No
F973,Viva Direct (DO),Shell,SHELL PORTLAND,615 HENTY HWY,PORTLAND,VIC,3305,-38.32130792,141.5965038,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No
F991,Liberty Oil Australia,Shell,SHELL DANDENONG SOUTH UNMANNED,258-262 HAMMOND ROAD (CNR KILKENNY CT),DANDENONG SOUTH,VIC,3175,-38.02014787,145.2040494,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
G358,Alliance,Shell,SHELL COLES EXPRESS COLAC,2-14 PRINCESS HIGHWAY (CNR BAILLIE ST),COLAC,VIC,3250,-38.335472,143.609953,Open,Regional,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes
G374,Viva Direct (DO),Shell,SHELL KYNETON,199 BURTON AVE,KYNETON,VIC,3444,-37.23741523,144.4200043,Open,Regional,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No
G386,Alliance,Shell,SHELL COLES EXPRESS CLAYTON,2143-2149 DANDENONG ROAD (CNR RENVER RD),CLAYTON,VIC,3168,-37.92364947,145.1427332,Open,Metro,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No
G727,Liberty Oil Australia,Liberty,LIBERTY BENDIGO UNMANNED,107 STRICKLAND RD,BENDIGO EAST,VIC,3550,-36.74654599,144.305725,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
G829,Alliance,Shell,SHELL COLES EXPRESS WARRENHEIP,9389 WESTERN HIGHWAY,WARRENHEIP,VIC,3352,-37.564368,143.934259,Open,Regional,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
X073,Liberty Oil Australia,Shell,SHELL IRYMPLE UNMANNED,2170 FIFTEENTH ST,IRYMPLE,VIC,3498,-34.23908419,142.1746249,Open,Regional,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
X136,Liberty Oil Australia,Liberty,JOHN DUFF & CO APM UNMANNED,MARYVALE ROAD,MORWELL,VIC,3840,-38.18571027,146.4465973,Update Required,Regional,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes
X147,Liberty Oil Australia,Liberty,LIBERTY HORSHAM,93 DIMBOOLA ROAD,HORSHAM,VIC,3400,-36.70413041,142.1824292,Open,Regional,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
X158,Liberty Oil Australia,Shell,SHELL PAKENHAM UNMANNED,2 INDUSTRIAL DRIVE (CNR EXCHANGE DR),PAKENHAM,VIC,3810,-38.10156086,145.4916652,Open,Metro,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
X176,Liberty Oil Australia,Shell,SHELL SPEED UNMANNED,8 SUNRAYSIA HIGHWAY,SPEED,VIC,3488,-35.402098,142.439131,Open,Regional,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes
X263,Liberty Oil Australia,Shell,SHELL SWAN HILL UNMANNED,8 SALESYARD RD,SWAN HILL,VIC,3585,-35.32135571,143.549099,Open,Regional,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
X282,Liberty Oil Australia,Shell,SHELL OUYEN UNMANNED,87 HUGHES ST,OUYEN,VIC,3490,-35.07140622,142.3309471,Open,Regional,No,No,No,No,No,Yes,No,No,No,No,No,,,Yes,Yes
